id,created_at,closed_at
1607890624,2023-11-19T11:33:20Z,2023-11-19T15:46:24Z
1607624974,2023-11-18T16:11:26Z,2023-11-19T21:11:14Z
1606296648,2023-11-17T12:08:42Z,2023-11-17T15:05:55Z
1604267279,2023-11-16T12:05:14Z,2023-11-17T15:52:15Z
1604035254,2023-11-16T09:38:36Z,2023-12-05T08:11:33Z
1602701252,2023-11-15T15:00:37Z,2023-11-17T15:51:48Z
1602699722,2023-11-15T14:59:41Z,2023-11-17T15:51:29Z
1602698351,2023-11-15T14:58:52Z,2023-11-17T15:50:51Z
1601898075,2023-11-15T05:02:08Z,2023-12-05T09:23:26Z
1601046178,2023-11-14T16:26:18Z,2023-12-17T17:29:37Z
1601036097,2023-11-14T16:20:29Z,2023-11-14T16:25:32Z
1595294694,2023-11-10T00:04:18Z,2024-01-16T16:42:04Z
1594483930,2023-11-09T14:06:03Z,2023-11-21T11:04:02Z
1594359804,2023-11-09T12:52:35Z,2023-11-17T15:31:11Z
1593386046,2023-11-08T22:00:02Z,2023-11-27T19:18:15Z
1586629633,2023-11-03T19:48:23Z,
1572579494,2023-10-25T10:03:16Z,2023-11-06T19:04:44Z
1566727743,2023-10-20T13:42:57Z,2023-11-09T23:47:54Z
1566641618,2023-10-20T12:51:52Z,2023-10-20T15:19:56Z
1566585299,2023-10-20T12:13:21Z,2023-10-20T15:19:20Z
1565456764,2023-10-19T19:11:44Z,2023-10-20T07:14:02Z
1565179974,2023-10-19T15:53:56Z,2023-10-20T05:54:44Z
1565176020,2023-10-19T15:52:21Z,2023-10-20T10:38:58Z
1562610243,2023-10-18T12:59:25Z,2023-10-18T13:31:37Z
1561324222,2023-10-17T21:04:02Z,2023-10-18T05:47:36Z
1561193062,2023-10-17T19:35:35Z,2023-10-17T21:06:27Z
1560986536,2023-10-17T17:10:52Z,2023-10-17T17:11:48Z
1560731422,2023-10-17T14:39:39Z,2023-10-26T22:22:13Z
1559491060,2023-10-16T22:27:32Z,2023-10-20T07:44:51Z
1558510887,2023-10-16T12:36:26Z,2023-10-16T13:44:34Z
1557570215,2023-10-15T21:09:16Z,2023-10-16T11:26:42Z
1557181718,2023-10-14T22:52:28Z,2023-11-07T15:06:40Z
1557110283,2023-10-14T19:30:58Z,
1555931226,2023-10-13T13:32:49Z,2023-10-18T18:06:57Z
