timestamp,project,open_prs,cumsum
2012-10-24 00:00:00+00:00,druid,0,18
2012-10-31 00:00:00+00:00,druid,3,14
2012-11-07 00:00:00+00:00,druid,-3,7
2012-11-14 00:00:00+00:00,druid,0,2
2012-11-21 00:00:00+00:00,druid,0,0
2012-11-28 00:00:00+00:00,druid,2,6
2012-12-05 00:00:00+00:00,druid,1,12
2012-12-12 00:00:00+00:00,druid,-2,17
2012-12-19 00:00:00+00:00,druid,1,2
2012-12-26 00:00:00+00:00,druid,-2,1
2013-01-02 00:00:00+00:00,druid,2,7
2013-01-09 00:00:00+00:00,druid,0,0
2013-01-16 00:00:00+00:00,druid,3,32
2013-01-23 00:00:00+00:00,druid,-2,71
2013-01-30 00:00:00+00:00,druid,0,14
2013-02-06 00:00:00+00:00,druid,1,27
2013-02-13 00:00:00+00:00,druid,0,29
2013-02-20 00:00:00+00:00,druid,-2,14
2013-02-27 00:00:00+00:00,druid,1,6
2013-03-06 00:00:00+00:00,druid,0,35
2013-03-13 00:00:00+00:00,druid,-2,3
2013-03-20 00:00:00+00:00,druid,0,10
2013-03-27 00:00:00+00:00,druid,0,3
2013-04-03 00:00:00+00:00,druid,1,8
2013-04-10 00:00:00+00:00,druid,-2,12
2013-04-17 00:00:00+00:00,druid,1,2
2013-04-24 00:00:00+00:00,druid,0,6
2013-05-01 00:00:00+00:00,druid,3,34
2013-05-08 00:00:00+00:00,druid,0,33
2013-05-15 00:00:00+00:00,druid,-2,28
2013-05-22 00:00:00+00:00,druid,2,7
2013-05-29 00:00:00+00:00,druid,0,9
2013-06-05 00:00:00+00:00,druid,-2,10
2013-06-12 00:00:00+00:00,druid,-1,16
2013-06-19 00:00:00+00:00,druid,2,8
2013-06-26 00:00:00+00:00,druid,2,9
2013-07-03 00:00:00+00:00,druid,-1,42
2013-07-10 00:00:00+00:00,druid,1,33
2013-07-17 00:00:00+00:00,druid,-2,32
2013-07-24 00:00:00+00:00,druid,3,95
2013-07-31 00:00:00+00:00,druid,0,35
2013-08-07 00:00:00+00:00,druid,0,65
2013-08-14 00:00:00+00:00,druid,4,86
2013-08-21 00:00:00+00:00,druid,-5,98
2013-08-28 00:00:00+00:00,druid,0,18
2013-09-04 00:00:00+00:00,druid,0,11
2013-09-11 00:00:00+00:00,druid,0,46
2013-09-18 00:00:00+00:00,druid,-2,47
2013-09-25 00:00:00+00:00,druid,0,71
2013-10-02 00:00:00+00:00,druid,0,35
2013-10-09 00:00:00+00:00,druid,0,28
2013-10-16 00:00:00+00:00,druid,0,37
2013-10-23 00:00:00+00:00,druid,3,46
2013-10-30 00:00:00+00:00,druid,0,89
2013-11-06 00:00:00+00:00,druid,1,76
2013-11-13 00:00:00+00:00,druid,-1,86
2013-11-20 00:00:00+00:00,druid,3,109
2013-11-27 00:00:00+00:00,druid,-1,25
2013-12-04 00:00:00+00:00,druid,0,64
2013-12-11 00:00:00+00:00,druid,-1,153
2013-12-18 00:00:00+00:00,druid,-1,109
2013-12-25 00:00:00+00:00,druid,0,0
2014-01-01 00:00:00+00:00,druid,1,54
2014-01-08 00:00:00+00:00,druid,0,154
2014-01-15 00:00:00+00:00,druid,-1,64
2014-01-22 00:00:00+00:00,druid,0,11
2014-01-29 00:00:00+00:00,druid,1,69
2014-02-05 00:00:00+00:00,druid,2,168
2014-02-12 00:00:00+00:00,druid,1,80
2014-02-19 00:00:00+00:00,druid,0,74
2014-02-26 00:00:00+00:00,druid,-1,124
2014-03-05 00:00:00+00:00,druid,-1,167
2014-03-12 00:00:00+00:00,druid,3,108
2014-03-19 00:00:00+00:00,druid,-2,99
2014-03-26 00:00:00+00:00,druid,-1,200
2014-04-02 00:00:00+00:00,druid,4,285
2014-04-09 00:00:00+00:00,druid,-2,186
2014-04-16 00:00:00+00:00,druid,-1,429
2014-04-23 00:00:00+00:00,druid,8,198
2014-04-30 00:00:00+00:00,druid,-9,406
2014-05-07 00:00:00+00:00,druid,3,49
2014-05-14 00:00:00+00:00,druid,-1,367
2014-05-21 00:00:00+00:00,druid,4,142
2014-05-28 00:00:00+00:00,druid,1,225
2014-06-04 00:00:00+00:00,druid,3,424
2014-06-11 00:00:00+00:00,druid,-3,414
2014-06-18 00:00:00+00:00,druid,3,241
2014-06-25 00:00:00+00:00,druid,-1,208
2014-07-02 00:00:00+00:00,druid,2,187
2014-07-09 00:00:00+00:00,druid,0,78
2014-07-16 00:00:00+00:00,druid,-2,290
2014-07-23 00:00:00+00:00,druid,-1,220
2014-07-30 00:00:00+00:00,druid,0,161
2014-08-06 00:00:00+00:00,druid,-5,305
2014-08-13 00:00:00+00:00,druid,2,227
2014-08-20 00:00:00+00:00,druid,2,224
2014-08-27 00:00:00+00:00,druid,0,290
2014-09-03 00:00:00+00:00,druid,-1,134
2014-09-10 00:00:00+00:00,druid,3,369
2014-09-17 00:00:00+00:00,druid,1,295
2014-09-24 00:00:00+00:00,druid,2,498
2014-10-01 00:00:00+00:00,druid,-4,202
2014-10-08 00:00:00+00:00,druid,2,138
2014-10-15 00:00:00+00:00,druid,0,267
2014-10-22 00:00:00+00:00,druid,1,241
2014-10-29 00:00:00+00:00,druid,2,207
2014-11-05 00:00:00+00:00,druid,5,571
2014-11-12 00:00:00+00:00,druid,-3,2184
2014-11-19 00:00:00+00:00,druid,-2,1026
2014-11-26 00:00:00+00:00,druid,1,597
2014-12-03 00:00:00+00:00,druid,0,1188
2014-12-10 00:00:00+00:00,druid,-4,1199
2014-12-17 00:00:00+00:00,druid,5,649
2014-12-24 00:00:00+00:00,druid,2,255
2014-12-31 00:00:00+00:00,druid,-4,624
2015-01-07 00:00:00+00:00,druid,2,355
2015-01-14 00:00:00+00:00,druid,-8,1261
2015-01-21 00:00:00+00:00,druid,-1,254
2015-01-28 00:00:00+00:00,druid,-2,373
2015-02-04 00:00:00+00:00,druid,4,468
2015-02-11 00:00:00+00:00,druid,8,643
2015-02-18 00:00:00+00:00,druid,5,876
2015-02-25 00:00:00+00:00,druid,-14,802
2015-03-04 00:00:00+00:00,druid,1,619
2015-03-11 00:00:00+00:00,druid,2,814
2015-03-18 00:00:00+00:00,druid,0,536
2015-03-25 00:00:00+00:00,druid,-3,505
2015-04-01 00:00:00+00:00,druid,1,292
2015-04-08 00:00:00+00:00,druid,5,463
2015-04-15 00:00:00+00:00,druid,-4,594
2015-04-22 00:00:00+00:00,druid,-1,556
2015-04-29 00:00:00+00:00,druid,-1,585
2015-05-06 00:00:00+00:00,druid,3,295
2015-05-13 00:00:00+00:00,druid,4,449
2015-05-20 00:00:00+00:00,druid,0,522
2015-05-27 00:00:00+00:00,druid,1,723
2015-06-03 00:00:00+00:00,druid,-2,673
2015-06-10 00:00:00+00:00,druid,-2,251
2015-06-17 00:00:00+00:00,druid,-2,610
2015-06-24 00:00:00+00:00,druid,7,576
2015-07-01 00:00:00+00:00,druid,0,734
2015-07-08 00:00:00+00:00,druid,-2,803
2015-07-15 00:00:00+00:00,druid,-10,668
2015-07-22 00:00:00+00:00,druid,-1,605
2015-07-29 00:00:00+00:00,druid,4,391
2015-08-05 00:00:00+00:00,druid,1,514
2015-08-12 00:00:00+00:00,druid,8,552
2015-08-19 00:00:00+00:00,druid,3,1226
2015-08-26 00:00:00+00:00,druid,-8,1101
2015-09-02 00:00:00+00:00,druid,-2,372
2015-09-09 00:00:00+00:00,druid,-4,648
2015-09-16 00:00:00+00:00,druid,3,801
2015-09-23 00:00:00+00:00,druid,1,698
2015-09-30 00:00:00+00:00,druid,3,618
2015-10-07 00:00:00+00:00,druid,4,509
2015-10-14 00:00:00+00:00,druid,2,416
2015-10-21 00:00:00+00:00,druid,-3,1008
2015-10-28 00:00:00+00:00,druid,2,1068
2015-11-04 00:00:00+00:00,druid,5,1177
2015-11-11 00:00:00+00:00,druid,6,1667
2015-11-18 00:00:00+00:00,druid,4,1327
2015-11-25 00:00:00+00:00,druid,3,450
2015-12-02 00:00:00+00:00,druid,-3,2884
2015-12-09 00:00:00+00:00,druid,2,1408
2015-12-16 00:00:00+00:00,druid,8,2983
2015-12-23 00:00:00+00:00,druid,-1,1608
2015-12-30 00:00:00+00:00,druid,-3,2140
2016-01-06 00:00:00+00:00,druid,7,4079
2016-01-13 00:00:00+00:00,druid,-4,2893
2016-01-20 00:00:00+00:00,druid,-5,2733
2016-01-27 00:00:00+00:00,druid,2,2282
2016-02-03 00:00:00+00:00,druid,11,3258
2016-02-10 00:00:00+00:00,druid,3,3242
2016-02-17 00:00:00+00:00,druid,3,4495
2016-02-24 00:00:00+00:00,druid,-3,4235
2016-03-02 00:00:00+00:00,druid,8,4014
2016-03-09 00:00:00+00:00,druid,1,5379
2016-03-16 00:00:00+00:00,druid,4,3160
2016-03-23 00:00:00+00:00,druid,-1,6066
2016-03-30 00:00:00+00:00,druid,-2,3064
2016-04-06 00:00:00+00:00,druid,6,3412
2016-04-13 00:00:00+00:00,druid,6,3818
2016-04-20 00:00:00+00:00,druid,2,2302
2016-04-27 00:00:00+00:00,druid,-5,3709
2016-05-04 00:00:00+00:00,druid,1,3979
2016-05-11 00:00:00+00:00,druid,-2,2564
2016-05-18 00:00:00+00:00,druid,2,2226
2016-05-25 00:00:00+00:00,druid,2,2449
2016-06-01 00:00:00+00:00,druid,9,9359
2016-06-08 00:00:00+00:00,druid,3,6022
2016-06-15 00:00:00+00:00,druid,1,2172
2016-06-22 00:00:00+00:00,druid,-5,4252
2016-06-29 00:00:00+00:00,druid,-4,1933
2016-07-06 00:00:00+00:00,druid,4,1760
2016-07-13 00:00:00+00:00,druid,-1,2633
2016-07-20 00:00:00+00:00,druid,-1,2972
2016-07-27 00:00:00+00:00,druid,0,2327
2016-08-03 00:00:00+00:00,druid,2,3256
2016-08-10 00:00:00+00:00,druid,-1,3510
2016-08-17 00:00:00+00:00,druid,7,1377
2016-08-24 00:00:00+00:00,druid,1,2698
2016-08-31 00:00:00+00:00,druid,3,2838
2016-09-07 00:00:00+00:00,druid,-5,3219
2016-09-14 00:00:00+00:00,druid,0,1510
2016-09-21 00:00:00+00:00,druid,13,4777
2016-09-28 00:00:00+00:00,druid,3,1843
2016-10-05 00:00:00+00:00,druid,1,3973
2016-10-12 00:00:00+00:00,druid,-3,4370
2016-10-19 00:00:00+00:00,druid,-2,1937
2016-10-26 00:00:00+00:00,druid,2,4411
2016-11-02 00:00:00+00:00,druid,-2,4750
2016-11-09 00:00:00+00:00,druid,-3,4444
2016-11-16 00:00:00+00:00,druid,3,2016
2016-11-23 00:00:00+00:00,druid,-3,1589
2016-11-30 00:00:00+00:00,druid,0,4224
2016-12-07 00:00:00+00:00,druid,-8,4440
2016-12-14 00:00:00+00:00,druid,-3,2568
2016-12-21 00:00:00+00:00,druid,-1,1377
2016-12-28 00:00:00+00:00,druid,0,1100
2017-01-04 00:00:00+00:00,druid,1,2456
2017-01-11 00:00:00+00:00,druid,3,2368
2017-01-18 00:00:00+00:00,druid,3,2411
2017-01-25 00:00:00+00:00,druid,-3,1067
2017-02-01 00:00:00+00:00,druid,2,3556
2017-02-08 00:00:00+00:00,druid,-7,3408
2017-02-15 00:00:00+00:00,druid,5,2336
2017-02-22 00:00:00+00:00,druid,1,3662
2017-03-01 00:00:00+00:00,druid,-8,5516
2017-03-08 00:00:00+00:00,druid,6,2958
2017-03-15 00:00:00+00:00,druid,4,4101
2017-03-22 00:00:00+00:00,druid,-7,4211
2017-03-29 00:00:00+00:00,druid,6,1540
2017-04-05 00:00:00+00:00,druid,3,1090
2017-04-12 00:00:00+00:00,druid,3,2156
2017-04-19 00:00:00+00:00,druid,1,3135
2017-04-26 00:00:00+00:00,druid,4,3418
2017-05-03 00:00:00+00:00,druid,1,2967
2017-05-10 00:00:00+00:00,druid,-2,2837
2017-05-17 00:00:00+00:00,druid,1,5498
2017-05-24 00:00:00+00:00,druid,-2,2343
2017-05-31 00:00:00+00:00,druid,-4,5309
2017-06-07 00:00:00+00:00,druid,-4,3178
2017-06-14 00:00:00+00:00,druid,6,3923
2017-06-21 00:00:00+00:00,druid,9,5036
2017-06-28 00:00:00+00:00,druid,1,3679
2017-07-05 00:00:00+00:00,druid,-4,5333
2017-07-12 00:00:00+00:00,druid,6,3626
2017-07-19 00:00:00+00:00,druid,-5,4993
2017-07-26 00:00:00+00:00,druid,4,2939
2017-08-02 00:00:00+00:00,druid,-1,5098
2017-08-09 00:00:00+00:00,druid,-4,4034
2017-08-16 00:00:00+00:00,druid,2,2039
2017-08-23 00:00:00+00:00,druid,-5,3172
2017-08-30 00:00:00+00:00,druid,5,2741
2017-09-06 00:00:00+00:00,druid,7,4432
2017-09-13 00:00:00+00:00,druid,-3,5829
2017-09-20 00:00:00+00:00,druid,5,4370
2017-09-27 00:00:00+00:00,druid,-1,6001
2017-10-04 00:00:00+00:00,druid,-4,5278
2017-10-11 00:00:00+00:00,druid,0,5789
2017-10-18 00:00:00+00:00,druid,1,3517
2017-10-25 00:00:00+00:00,druid,-3,2855
2017-11-01 00:00:00+00:00,druid,4,3642
2017-11-08 00:00:00+00:00,druid,-4,6889
2017-11-15 00:00:00+00:00,druid,0,3957
2017-11-22 00:00:00+00:00,druid,1,801
2017-11-29 00:00:00+00:00,druid,-1,1969
2017-12-06 00:00:00+00:00,druid,3,1757
2017-12-13 00:00:00+00:00,druid,4,2157
2017-12-20 00:00:00+00:00,druid,-3,2543
2017-12-27 00:00:00+00:00,druid,0,472
2018-01-03 00:00:00+00:00,druid,-5,4288
