timestamp,project,releases_per_60days
2011-10-10,hadoop,7
2011-12-09,hadoop,4
2012-02-07,hadoop,10
2012-04-07,hadoop,6
2012-06-06,hadoop,3
2012-08-05,hadoop,10
2012-10-04,hadoop,10
2012-12-03,hadoop,9
2013-02-01,hadoop,4
2013-04-02,hadoop,12
2013-06-01,hadoop,9
2013-07-31,hadoop,7
2013-09-29,hadoop,2
2013-11-28,hadoop,4
2014-01-27,hadoop,2
2014-03-28,hadoop,2
2014-05-27,hadoop,5
2014-07-26,hadoop,5
2014-09-24,hadoop,6
2014-11-23,hadoop,0
2015-01-22,hadoop,0
2015-03-23,hadoop,2
2015-05-22,hadoop,2
2015-07-21,hadoop,2
2015-09-19,hadoop,4
2015-11-18,hadoop,6
2016-01-17,hadoop,1
2016-03-17,hadoop,0
2016-05-16,hadoop,0
2016-07-15,hadoop,4
2016-09-13,hadoop,2
2016-11-12,hadoop,0
2017-01-11,hadoop,4
2017-03-12,hadoop,1
2017-05-11,hadoop,1
2017-07-10,hadoop,1
2017-09-08,hadoop,4
2017-11-07,hadoop,8
2018-01-06,hadoop,1
2018-03-07,hadoop,7
2018-05-06,hadoop,3
2018-07-05,hadoop,1
2018-09-03,hadoop,1
2018-11-02,hadoop,2
2019-01-01,hadoop,3
2019-03-02,hadoop,0
2019-05-01,hadoop,0
2019-06-30,hadoop,0
2019-08-29,hadoop,4
2019-10-28,hadoop,0
2019-12-27,hadoop,0
2020-02-25,hadoop,0
2020-04-25,hadoop,2
2020-06-24,hadoop,4
2020-08-23,hadoop,2
2020-10-22,hadoop,4
2020-12-21,hadoop,1
2021-02-19,hadoop,0
2021-04-20,hadoop,4
2021-06-19,hadoop,0
2021-08-18,hadoop,0
2021-10-17,hadoop,1
2021-12-16,hadoop,5
2022-02-14,hadoop,2
2022-04-15,hadoop,3
2022-06-14,hadoop,3
2022-08-13,hadoop,0
2022-10-12,hadoop,0
2022-12-11,hadoop,1
2023-02-09,hadoop,3
2023-04-10,hadoop,0
2023-06-09,hadoop,2
2023-08-08,hadoop,0
2023-10-07,hadoop,0
2023-12-06,hadoop,1
2009-07-09,maven,4
2009-09-07,maven,0
2009-11-06,maven,3
2010-01-05,maven,1
2010-03-06,maven,2
2010-05-05,maven,0
2010-07-04,maven,2
2010-09-02,maven,4
2010-11-01,maven,2
2010-12-31,maven,4
2011-03-01,maven,0
2011-04-30,maven,0
2011-06-29,maven,0
2011-08-28,maven,0
2011-10-27,maven,2
2011-12-26,maven,2
2012-02-24,maven,0
2012-04-24,maven,0
2012-06-23,maven,0
2012-08-22,maven,0
2012-10-21,maven,0
2012-12-20,maven,0
2013-02-18,maven,1
2013-04-19,maven,1
2013-06-18,maven,1
2013-08-17,maven,1
2013-10-16,maven,0
2013-12-15,maven,1
2014-02-13,maven,1
2014-04-14,maven,0
2014-06-13,maven,2
2014-08-12,maven,0
2014-10-11,maven,0
2014-12-10,maven,2
2015-02-08,maven,2
2015-04-09,maven,2
2015-06-08,maven,3
2015-08-07,maven,0
2015-10-06,maven,3
2015-12-05,maven,0
2016-02-03,maven,0
2016-04-03,maven,0
2016-06-02,maven,0
2016-08-01,maven,0
2016-09-30,maven,0
2016-11-29,maven,0
2017-01-28,maven,2
2017-03-29,maven,1
2017-05-28,maven,0
2017-07-27,maven,1
2017-09-25,maven,1
2017-11-24,maven,0
2018-01-23,maven,1
2018-03-24,maven,0
2018-05-23,maven,1
2018-07-22,maven,0
2018-09-20,maven,1
2018-11-19,maven,0
2019-01-18,maven,0
2019-03-19,maven,1
2019-05-18,maven,0
2019-07-17,maven,1
2019-09-15,maven,0
2019-11-14,maven,1
2020-01-13,maven,0
2020-03-13,maven,0
2020-05-12,maven,0
2020-07-11,maven,0
2020-09-09,maven,0
2020-11-08,maven,0
2021-01-07,maven,0
2021-03-08,maven,2
2021-05-07,maven,0
2021-07-06,maven,1
2021-09-04,maven,1
2021-11-03,maven,1
2022-01-02,maven,0
2022-03-03,maven,1
2022-05-02,maven,1
2022-07-01,maven,0
2022-08-30,maven,2
2022-10-29,maven,2
2022-12-28,maven,2
2023-02-26,maven,3
2023-04-27,maven,4
2023-06-26,maven,1
2023-08-25,maven,2
2023-10-24,maven,3
2023-12-23,maven,2
2016-09-07,pulsar,4
2016-11-06,pulsar,3
2017-01-05,pulsar,6
2017-03-06,pulsar,8
2017-05-05,pulsar,1
2017-07-04,pulsar,2
2017-09-02,pulsar,2
2017-11-01,pulsar,5
2017-12-31,pulsar,5
2018-03-01,pulsar,0
2018-04-30,pulsar,15
2018-06-29,pulsar,3
2018-08-28,pulsar,5
2018-10-27,pulsar,3
2018-12-26,pulsar,2
2019-02-24,pulsar,3
2019-04-25,pulsar,3
2019-06-24,pulsar,2
2019-08-23,pulsar,2
2019-10-22,pulsar,5
2019-12-21,pulsar,2
2020-02-19,pulsar,5
2020-04-19,pulsar,4
2020-06-18,pulsar,2
2020-08-17,pulsar,0
2020-10-16,pulsar,6
2020-12-15,pulsar,3
2021-02-13,pulsar,2
2021-04-14,pulsar,8
2021-06-13,pulsar,3
2021-08-12,pulsar,4
2021-10-11,pulsar,5
2021-12-10,pulsar,11
2022-02-08,pulsar,15
2022-04-09,pulsar,1
2022-06-08,pulsar,5
2022-08-07,pulsar,8
2022-10-06,pulsar,3
2022-12-05,pulsar,7
2023-02-03,pulsar,5
2023-04-04,pulsar,11
2023-06-03,pulsar,7
2023-08-02,pulsar,4
2023-10-01,pulsar,5
2023-11-30,pulsar,6
