timestamp,project,release_name
1363047609,druid,refs/tags/druid-0.3.19
1361500785,druid,refs/tags/druid-0.3.2
1363210390,druid,refs/tags/druid-0.3.20
1363217515,druid,refs/tags/druid-0.3.21
1363373613,druid,refs/tags/druid-0.3.22
1363383144,druid,refs/tags/druid-0.3.23
1363629753,druid,refs/tags/druid-0.3.24
1363644536,druid,refs/tags/druid-0.3.25
1363889654,druid,refs/tags/druid-0.3.26
1364242663,druid,refs/tags/druid-0.3.27
1364564280,druid,refs/tags/druid-0.3.27.1
1364565095,druid,refs/tags/druid-0.3.27.2
1364321404,druid,refs/tags/druid-0.3.28
1364410538,druid,refs/tags/druid-0.3.29
1361823855,druid,refs/tags/druid-0.3.3
1364523667,druid,refs/tags/druid-0.3.30
1364525319,druid,refs/tags/druid-0.3.31
1364851716,druid,refs/tags/druid-0.3.32
1364861864,druid,refs/tags/druid-0.3.33
1365445592,druid,refs/tags/druid-0.3.34
1366063400,druid,refs/tags/druid-0.3.35
1366069427,druid,refs/tags/druid-0.3.36
1366075056,druid,refs/tags/druid-0.3.37
1366077346,druid,refs/tags/druid-0.3.38
1361920536,druid,refs/tags/druid-0.3.4
1362166996,druid,refs/tags/druid-0.3.5
1362174901,druid,refs/tags/druid-0.3.6
1362177793,druid,refs/tags/druid-0.3.7
1362185858,druid,refs/tags/druid-0.3.8
1366416900,druid,refs/tags/druid-0.4.0
1367532802,druid,refs/tags/druid-0.4.1
1368468509,druid,refs/tags/druid-0.4.10
1368473941,druid,refs/tags/druid-0.4.11
1368491462,druid,refs/tags/druid-0.4.12
1368814448,druid,refs/tags/druid-0.4.12.1
1368817576,druid,refs/tags/druid-0.4.12.2
1368909438,druid,refs/tags/druid-0.4.12.3
1368909887,druid,refs/tags/druid-0.4.12.4
1369076874,druid,refs/tags/druid-0.4.12.5
1368565147,druid,refs/tags/druid-0.4.13
1368567809,druid,refs/tags/druid-0.4.14
1368741244,druid,refs/tags/druid-0.4.15
1368747072,druid,refs/tags/druid-0.4.16
1368923843,druid,refs/tags/druid-0.4.17
1369077590,druid,refs/tags/druid-0.4.18
1369082778,druid,refs/tags/druid-0.4.19
1367601417,druid,refs/tags/druid-0.4.2
1369106455,druid,refs/tags/druid-0.4.20
1369181536,druid,refs/tags/druid-0.4.21
1369197274,druid,refs/tags/druid-0.4.22
1369255004,druid,refs/tags/druid-0.4.23
1369292106,druid,refs/tags/druid-0.4.24
1369328718,druid,refs/tags/druid-0.4.25
1369331601,druid,refs/tags/druid-0.4.26
1369596777,druid,refs/tags/druid-0.4.27
1369597401,druid,refs/tags/druid-0.4.28
1369776522,druid,refs/tags/druid-0.4.29
1367624493,druid,refs/tags/druid-0.4.3
1369846202,druid,refs/tags/druid-0.4.30
1370034039,druid,refs/tags/druid-0.4.31
1370040797,druid,refs/tags/druid-0.4.32
1370632815,druid,refs/tags/druid-0.4.32.1
1371677221,druid,refs/tags/druid-0.4.32.2
1367875803,druid,refs/tags/druid-0.4.5
1367944366,druid,refs/tags/druid-0.4.6
1368033437,druid,refs/tags/druid-0.4.7
1368035772,druid,refs/tags/druid-0.4.8
1368397152,druid,refs/tags/druid-0.4.9
1370560239,druid,refs/tags/druid-0.5.0
1370566824,druid,refs/tags/druid-0.5.1
1374022529,druid,refs/tags/druid-0.5.10
1374077668,druid,refs/tags/druid-0.5.11
1374182215,druid,refs/tags/druid-0.5.13
1374182926,druid,refs/tags/druid-0.5.14
1374184122,druid,refs/tags/druid-0.5.15
1374184426,druid,refs/tags/druid-0.5.16
1374185672,druid,refs/tags/druid-0.5.17
1374187036,druid,refs/tags/druid-0.5.18
1374684080,druid,refs/tags/druid-0.5.19
1370568299,druid,refs/tags/druid-0.5.2
1374794509,druid,refs/tags/druid-0.5.20
1374796520,druid,refs/tags/druid-0.5.21
1374798396,druid,refs/tags/druid-0.5.22
1375728268,druid,refs/tags/druid-0.5.23
1375739246,druid,refs/tags/druid-0.5.24
1375744211,druid,refs/tags/druid-0.5.25
1375750836,druid,refs/tags/druid-0.5.26
1375752370,druid,refs/tags/druid-0.5.27
1375757914,druid,refs/tags/druid-0.5.28
1375831229,druid,refs/tags/druid-0.5.29
1370639852,druid,refs/tags/druid-0.5.3
1375836111,druid,refs/tags/druid-0.5.30
1375848472,druid,refs/tags/druid-0.5.31
1375849278,druid,refs/tags/druid-0.5.32
1376025295,druid,refs/tags/druid-0.5.33
1376338881,druid,refs/tags/druid-0.5.34
1376359086,druid,refs/tags/druid-0.5.35
1376404038,druid,refs/tags/druid-0.5.36
1376439706,druid,refs/tags/druid-0.5.37
1376500414,druid,refs/tags/druid-0.5.38
1376514339,druid,refs/tags/druid-0.5.39
1370898669,druid,refs/tags/druid-0.5.4
1376525008,druid,refs/tags/druid-0.5.40
1376599668,druid,refs/tags/druid-0.5.41
1377046702,druid,refs/tags/druid-0.5.42
1377052136,druid,refs/tags/druid-0.5.43
1377052664,druid,refs/tags/druid-0.5.44
1377136540,druid,refs/tags/druid-0.5.45
1377142086,druid,refs/tags/druid-0.5.46
1377147046,druid,refs/tags/druid-0.5.47
1377282002,druid,refs/tags/druid-0.5.48
1377800989,druid,refs/tags/druid-0.5.49
1372719865,druid,refs/tags/druid-0.5.5
1377814805,druid,refs/tags/druid-0.5.50
1378326131,druid,refs/tags/druid-0.5.51
1378328785,druid,refs/tags/druid-0.5.52
1378329836,druid,refs/tags/druid-0.5.53
1378414091,druid,refs/tags/druid-0.5.54
1379120336,druid,refs/tags/druid-0.5.55
1379123114,druid,refs/tags/druid-0.5.56
1379123840,druid,refs/tags/druid-0.5.57
1379124160,druid,refs/tags/druid-0.5.58
1374006929,druid,refs/tags/druid-0.5.7
1374018821,druid,refs/tags/druid-0.5.8
1374021115,druid,refs/tags/druid-0.5.9
1382136492,druid,refs/tags/druid-0.6.0
1383694953,druid,refs/tags/druid-0.6.1
1383954966,druid,refs/tags/druid-0.6.10
1398365267,druid,refs/tags/druid-0.6.100
1398385666,druid,refs/tags/druid-0.6.101
1398878794,druid,refs/tags/druid-0.6.102
1398879914,druid,refs/tags/druid-0.6.103
1398888980,druid,refs/tags/druid-0.6.104
1398982137,druid,refs/tags/druid-0.6.105
1399400914,druid,refs/tags/druid-0.6.106
1399487145,druid,refs/tags/druid-0.6.107
1399491610,druid,refs/tags/druid-0.6.108
1400197472,druid,refs/tags/druid-0.6.109
1384298447,druid,refs/tags/druid-0.6.11
1400283252,druid,refs/tags/druid-0.6.110
1400559424,druid,refs/tags/druid-0.6.111
1400608133,druid,refs/tags/druid-0.6.112
1400615249,druid,refs/tags/druid-0.6.113
1400617368,druid,refs/tags/druid-0.6.114
1401409609,druid,refs/tags/druid-0.6.115
1401731623,druid,refs/tags/druid-0.6.116
1401900306,druid,refs/tags/druid-0.6.117
1401925784,druid,refs/tags/druid-0.6.118
1401929775,druid,refs/tags/druid-0.6.119
1384367828,druid,refs/tags/druid-0.6.12
1401938534,druid,refs/tags/druid-0.6.120
1401987806,druid,refs/tags/druid-0.6.121
1407277191,druid,refs/tags/druid-0.6.121.1
1415040438,druid,refs/tags/druid-0.6.121.2
1415041788,druid,refs/tags/druid-0.6.121.3
1402697114,druid,refs/tags/druid-0.6.122
1402697796,druid,refs/tags/druid-0.6.123
1402961879,druid,refs/tags/druid-0.6.124
1402962997,druid,refs/tags/druid-0.6.125
1403035254,druid,refs/tags/druid-0.6.126
1403051367,druid,refs/tags/druid-0.6.127
1403114016,druid,refs/tags/druid-0.6.128
1405707472,druid,refs/tags/druid-0.6.129
1384371519,druid,refs/tags/druid-0.6.13
1405709746,druid,refs/tags/druid-0.6.130
1406668417,druid,refs/tags/druid-0.6.131
1406676010,druid,refs/tags/druid-0.6.132
1406680852,druid,refs/tags/druid-0.6.133
1406682062,druid,refs/tags/druid-0.6.134
1406696589,druid,refs/tags/druid-0.6.135
