timestamp,project,commits_per_14days
2021-09-14,druid,29
2021-09-28,druid,34
2021-10-12,druid,26
2021-10-26,druid,26
2021-11-09,druid,52
2021-11-23,druid,41
2021-12-07,druid,61
2021-12-21,druid,6
2022-01-04,druid,28
2022-01-18,druid,28
2022-02-01,druid,26
2022-02-15,druid,22
2022-03-01,druid,31
2022-03-15,druid,23
2022-03-29,druid,26
2022-04-12,druid,34
2022-04-26,druid,28
2022-05-10,druid,54
2022-05-24,druid,42
2022-06-07,druid,29
2022-06-21,druid,27
2022-07-05,druid,40
2022-07-19,druid,23
2022-08-02,druid,46
2022-08-16,druid,67
2022-08-30,druid,65
2022-09-13,druid,56
2022-09-27,druid,28
2022-10-11,druid,29
2022-10-25,druid,56
2022-11-08,druid,59
2022-11-22,druid,66
2022-12-06,druid,84
2022-12-20,druid,13
2023-01-03,druid,33
2023-01-17,druid,19
2023-01-31,druid,42
2023-02-14,druid,48
2023-02-28,druid,55
2023-03-14,druid,39
2023-03-28,druid,58
2023-04-11,druid,73
2023-04-25,druid,63
2023-05-09,druid,77
2023-05-23,druid,36
2023-06-06,druid,44
2023-06-20,druid,54
2023-07-04,druid,66
2023-07-18,druid,95
2023-08-01,druid,83
2023-08-15,druid,86
2023-08-29,druid,30
2023-09-12,druid,45
2023-09-26,druid,56
2023-10-10,druid,78
2023-10-24,druid,76
2023-11-07,druid,43
2023-11-21,druid,46
2023-12-05,druid,91
2023-12-19,druid,5
2024-01-02,druid,65
2011-10-20,dubbo,164
2011-11-03,dubbo,101
2011-11-17,dubbo,103
2011-12-01,dubbo,114
2011-12-15,dubbo,85
2011-12-29,dubbo,62
2012-01-12,dubbo,10
2012-01-26,dubbo,25
2012-02-09,dubbo,67
2012-02-23,dubbo,126
2012-03-08,dubbo,108
2012-03-22,dubbo,143
2012-04-05,dubbo,47
2012-04-19,dubbo,36
2012-05-03,dubbo,133
2012-05-17,dubbo,69
2012-05-31,dubbo,49
2012-06-14,dubbo,41
2012-06-28,dubbo,90
2012-07-12,dubbo,114
2012-07-26,dubbo,101
2012-08-09,dubbo,60
2012-08-23,dubbo,48
2012-09-06,dubbo,16
2012-09-20,dubbo,4
2012-10-04,dubbo,4
2012-10-18,dubbo,8
2012-11-01,dubbo,3
2012-11-15,dubbo,2
2012-11-29,dubbo,0
2012-12-13,dubbo,5
2012-12-27,dubbo,5
2013-01-10,dubbo,3
2013-01-24,dubbo,0
2013-02-07,dubbo,0
2013-02-21,dubbo,6
2013-03-07,dubbo,8
2013-03-21,dubbo,0
2013-04-04,dubbo,0
2013-04-18,dubbo,0
2013-05-02,dubbo,0
2013-05-16,dubbo,0
2013-05-30,dubbo,0
2013-06-13,dubbo,0
2013-06-27,dubbo,0
2013-07-11,dubbo,0
2013-07-25,dubbo,0
2013-08-08,dubbo,1
2013-08-22,dubbo,0
2013-09-05,dubbo,1
2013-09-19,dubbo,1
2013-10-03,dubbo,0
2013-10-17,dubbo,0
2013-10-31,dubbo,0
2013-11-14,dubbo,0
2013-11-28,dubbo,0
2013-12-12,dubbo,0
2013-12-26,dubbo,1
