,project,kendal_v,kendal_p,spearman_v,spearman_p,y_column,x_column
0,druid,-0.2771252926084785,4.735712760709491e-70,-0.46336592556834816,1.369565914370823e-98,total_cumsum,commits_per_14days
1,dubbo,-0.2551153064315706,1.026320615203773e-25,-0.3695595573249841,2.323636222771351e-26,total_cumsum,commits_per_14days
2,flink,0.43212324346068776,0.0,0.62970368244369,0.0,total_cumsum,commits_per_14days
3,hadoop,0.13500206369525045,1.388327278636968e-59,0.1876836031064968,1.1840928558577353e-52,total_cumsum,commits_per_14days
4,maven,0.06384367056412442,0.00021763348379548372,0.0903251870084058,0.0004148064806083438,total_cumsum,commits_per_14days
5,pulsar,0.27445437558947156,1.128317000641749e-22,0.3751374646404989,8.69333613110954e-21,total_cumsum,commits_per_14days
6,druid,-0.5650919889097956,7.2844507339404e-187,-0.7507401989879737,1.3353584667116168e-237,total_cumsum,releases_per_60days
7,dubbo,0.328345175085972,1.0891736853678703e-31,0.4312912934291365,9.958813639816692e-32,total_cumsum,releases_per_60days
8,flink,0.33234338405115804,2.9101375947578275e-127,0.45430546482921313,1.3647474763650498e-130,total_cumsum,releases_per_60days
9,hadoop,-0.12422558139652322,2.3664053590253926e-22,-0.16496422165800595,3.3521402350242096e-21,total_cumsum,releases_per_60days
10,maven,0.45827956640366724,4.663725804170706e-16,0.5783012161229271,1.8767140561514112e-17,total_cumsum,releases_per_60days
11,pulsar,0.2752476922589672,9.657099114523758e-21,0.37866881790762014,3.805710072811918e-21,total_cumsum,releases_per_60days
12,druid,0.7827483824701051,0.0,0.9185876033582535,0.0,total_cumsum,open_prs_exact
13,dubbo,0.3113117439359839,5.206942852238336e-33,0.41241006169753036,6.740525164265205e-29,total_cumsum,open_prs_exact
14,flink,0.8066670789022542,0.0,0.9361887714392283,0.0,total_cumsum,open_prs_exact
15,hadoop,0.974712540872737,0.0,0.9982230107902109,0.0,total_cumsum,open_prs_exact
16,maven,0.7303122599529338,1.9498310856661353e-46,0.9102463586039438,4.5191112933687583e-70,total_cumsum,open_prs_exact
17,pulsar,0.7236274744854624,3.651508147894623e-148,0.8666819899045817,4.165528156241787e-176,total_cumsum,open_prs_exact
18,druid,0.782134721226284,0.0,0.9185172258013905,0.0,code|design-debt,open_prs_exact
19,druid,0.743994328379077,0.0,0.8941927401879549,0.0,test-debt,open_prs_exact
20,druid,0.7906866890155853,0.0,0.9194385593946311,0.0,requirement-debt,open_prs_exact
21,druid,0.7095747606947865,6.180298497738892e-273,0.8684457155093745,0.0,documentation-debt,open_prs_exact
22,dubbo,0.31791803068188884,2.5826520469239584e-34,0.41397282067080776,3.991936845271982e-29,code|design-debt,open_prs_exact
