date,open_issues 
1624017775.0,1101
1624039249.0,1100
1624039362.0,1099
1624055555.0,1098
1624083681.0,1099
1624088907.0,1098
1624163367.0,1099
1624179277.0,1098
1624181417.0,1099
1624194750.0,1100
1624201081.0,1101
1624246824.0,1102
1624265731.0,1101
1624265972.0,1102
1624269907.0,1103
1624277340.0,1104
1624277967.0,1105
1624278291.0,1106
1624283158.0,1107
1624291935.0,1108
1624306730.0,1109
1624315906.0,1108
1624329647.0,1107
1624348596.0,1108
1624350499.0,1107
1624361812.0,1106
1624371596.0,1105
1624404990.0,1104
1624408754.0,1103
1624425341.0,1104
1624426977.0,1105
1624432263.0,1104
1624433794.0,1105
1624434741.0,1106
1624436996.0,1107
1624442560.0,1108
1624442991.0,1109
1624450357.0,1110
1624457250.0,1111
1624457395.0,1112
1624477116.0,1113
1624478643.0,1112
1624483257.0,1113
1624503236.0,1112
1624507336.0,1113
1624515108.0,1114
1624519396.0,1115
1624524451.0,1116
1624537646.0,1117
1624538283.0,1118
1624538757.0,1117
1624539761.0,1118
1624540406.0,1117
1624551123.0,1118
1624576759.0,1119
1624584083.0,1120
1624584393.0,1119
1624612927.0,1120
1624630860.0,1121
1624643712.0,1122
1624643890.0,1123
1624646211.0,1122
1624649160.0,1121
1624669780.0,1122
1624675295.0,1123
1624683207.0,1122
1624688019.0,1123
1624745190.0,1122
1624850204.0,1123
1624850497.0,1124
1624851635.0,1123
1624851681.0,1122
1624852291.0,1123
1624864588.0,1124
1624867025.0,1125
1624878778.0,1124
1624893126.0,1123
1624948563.0,1124
1624950331.0,1125
1624950491.0,1126
1624963881.0,1127
1624970218.0,1126
1624970546.0,1127
1624999084.0,1128
1625010429.0,1129
1625015910.0,1130
1625017591.0,1131
1625017867.0,1130
1625030521.0,1131
1625041156.0,1132
1625091661.0,1131
1625116064.0,1130
1625120680.0,1131
1625124145.0,1132
1625128547.0,1133
1625183032.0,1134
1625197987.0,1135
1625198287.0,1136
1625211354.0,1135
1625220731.0,1136
1625230457.0,1137
1625233579.0,1138
1625247105.0,1139
1625250091.0,1138
1625260483.0,1139
1625273999.0,1140
1625303253.0,1141
1625307239.0,1142
1625381233.0,1141
1625473459.0,1140
1625511041.0,1141
1625537323.0,1142
1625538523.0,1141
1625543152.0,1140
1625554705.0,1141
1625560417.0,1142
1625566192.0,1143
1625615103.0,1142
1625629467.0,1143
1625651175.0,1144
1625697640.0,1145
1625706342.0,1144
1625717062.0,1143
1625717781.0,1142
1625718084.0,1141
1625721446.0,1140
1625732216.0,1141
1625733395.0,1142
1625734489.0,1143
1625735608.0,1144
1625787246.0,1145
1625797059.0,1146
1625798778.0,1145
1625801380.0,1146
1625802121.0,1147
1625815397.0,1148
1625837360.0,1149
1625902346.0,1148
1625944695.0,1149
1626061116.0,1150
1626075865.0,1151
1626091940.0,1152
1626099834.0,1151
1626099995.0,1150
1626112614.0,1151
1626119139.0,1152
1626139591.0,1153
1626161280.0,1154
1626161604.0,1153
1626163023.0,1154
1626165358.0,1155
1626166650.0,1156
1626186205.0,1155
1626221494.0,1156
1626229744.0,1157
1626246286.0,1156
1626249098.0,1157
1626251768.0,1158
1626265402.0,1159
1626316532.0,1160
1626323679.0,1161
1626326324.0,1162
1626326380.0,1161
1626338353.0,1162
1626338945.0,1161
1626411063.0,1162
1626417885.0,1161
1626427197.0,1162
1626427237.0,1163
1626430867.0,1162
1626436898.0,1163
1626491954.0,1164
1626494292.0,1163
1626503385.0,1164
1626503599.0,1165
1626556437.0,1166
1626632757.0,1165
1626632778.0,1164
1626638727.0,1165
1626676261.0,1166
1626685072.0,1167
1626696642.0,1168
1626699311.0,1169
1626706376.0,1170
1626744672.0,1171
1626747975.0,1172
1626748229.0,1173
1626760744.0,1172
1626762021.0,1173
1626793995.0,1174
1626801124.0,1175
1626807553.0,1176
1626825264.0,1177
1626825961.0,1178
1626825986.0,1177
1626834332.0,1178
1626854394.0,1179
1626857867.0,1180
1626870549.0,1181
1626872933.0,1182
1626874559.0,1181
1626881779.0,1182
1626898224.0,1183
1626917090.0,1182
1626934610.0,1183
1626937023.0,1182
1626938792.0,1183
1626962813.0,1182
1626968305.0,1183
1626968812.0,1184
1626969442.0,1185
1626973027.0,1186
1626974186.0,1185
1626974835.0,1184
1626974883.0,1183
1626992721.0,1182
1626992721.0,1181
1626993530.0,1180
1627018362.0,1181
1627030922.0,1182
1627047584.0,1183
1627054731.0,1184
1627072441.0,1185
1627072761.0,1186
1627073787.0,1185
1627127581.0,1184
1627263166.0,1183
1627308867.0,1182
1627334515.0,1183
1627338695.0,1184
1627339674.0,1183
1627372552.0,1184
1627374578.0,1185
1627379152.0,1186
1627393286.0,1185
1627395939.0,1186
1627461943.0,1187
1627462111.0,1188
1627464133.0,1187
1627464233.0,1188
1627465648.0,1189
1627469930.0,1190
1627470228.0,1191
1627475989.0,1192
1627476071.0,1193
1627478618.0,1194
1627481497.0,1195
1627486261.0,1196
1627486924.0,1197
1627491657.0,1198
1627501135.0,1199
1627514120.0,1198
1627528339.0,1199
1627530067.0,1198
1627541675.0,1199
1627546262.0,1200
1627585146.0,1201
1627585338.0,1202
1627585382.0,1203
1627585452.0,1204
1627585499.0,1205
1627585601.0,1206
1627604956.0,1205
1627631751.0,1206
1627634064.0,1207
1627642786.0,1208
1627643057.0,1207
1627643671.0,1208
1627650408.0,1207
1627679622.0,1208
1627680953.0,1209
1627700987.0,1210
1627757559.0,1209
1627869670.0,1210
1627872780.0,1211
1627888969.0,1212
1627892766.0,1211
1627895757.0,1212
1627898914.0,1211
1627902649.0,1212
1627911299.0,1213
1627918776.0,1212
1627940038.0,1213
1627952893.0,1212
1627956158.0,1213
1627956958.0,1214
1627994450.0,1215
1627995343.0,1214
1628002515.0,1213
1628024304.0,1214
1628034846.0,1213
1628048046.0,1214
1628049590.0,1213
1628051590.0,1214
1628060886.0,1213
1628061088.0,1214
1628061108.0,1213
1628061162.0,1212
1628086828.0,1213
1628104266.0,1212
1628136753.0,1213
1628144347.0,1212
1628148812.0,1213
1628158789.0,1214
1628160617.0,1215
1628191382.0,1216
1628199310.0,1215
1628211375.0,1216
1628221278.0,1215
1628228650.0,1216
1628237179.0,1215
1628238380.0,1216
1628238607.0,1217
1628255817.0,1216
1628338022.0,1217
1628396266.0,1218
1628435879.0,1217
1628494230.0,1216
1628499342.0,1217
1628501746.0,1216
1628508029.0,1215
1628511102.0,1216
1628512551.0,1217
1628536272.0,1218
1628538395.0,1217
1628549424.0,1216
1628560363.0,1217
1628567605.0,1218
1628572910.0,1217
1628576704.0,1218
1628583824.0,1219
1628584608.0,1220
1628590625.0,1221
1628590807.0,1222
1628600407.0,1223
1628619129.0,1222
1628622852.0,1221
1628626386.0,1220
1628631518.0,1221
1628644691.0,1220
1628665962.0,1221
1628666865.0,1222
1628667619.0,1221
1628681127.0,1222
1628682700.0,1221
1628757576.0,1222
1628759148.0,1221
1628765103.0,1222
1628772635.0,1223
1628780026.0,1224
1628789886.0,1223
1628800283.0,1224
1628838552.0,1225
1628844443.0,1226
1628847299.0,1227
1628861099.0,1226
1628897661.0,1225
1628903580.0,1226
1628953773.0,1225
1628990608.0,1224
1629076902.0,1223
1629079880.0,1222
1629079944.0,1221
1629099865.0,1220
1629115261.0,1221
1629132409.0,1222
1629176349.0,1221
1629176495.0,1220
1629176732.0,1219
1629194586.0,1220
1629198299.0,1221
1629203510.0,1222
1629210492.0,1223
1629210557.0,1224
1629241092.0,1223
1629247146.0,1222
1629249731.0,1221
1629265641.0,1222
1629267874.0,1223
1629274167.0,1224
1629279286.0,1225
1629282339.0,1224
1629285565.0,1225
1629285670.0,1226
1629308819.0,1227
1629309072.0,1228
1629314559.0,1227
1629317606.0,1228
1629337159.0,1227
1629351026.0,1226
1629359313.0,1227
1629362197.0,1226
1629367700.0,1227
1629368290.0,1228
1629371850.0,1229
1629377707.0,1230
1629387788.0,1231
1629388633.0,1232
1629459296.0,1233
1629467994.0,1234
1629480685.0,1233
1629498374.0,1234
1629506025.0,1233
1629506303.0,1232
1629519189.0,1233
1629611897.0,1234
1629698916.0,1235
1629706790.0,1236
1629713454.0,1237
1629720594.0,1238
1629730515.0,1239
1629733060.0,1238
1629745928.0,1239
1629760182.0,1238
1629767058.0,1239
1629767456.0,1238
1629768691.0,1239
1629771484.0,1240
1629776007.0,1239
1629801828.0,1240
1629803011.0,1239
1629860600.0,1240
1629860929.0,1241
1629867911.0,1242
1629871368.0,1241
1629872390.0,1240
1629873757.0,1241
1629878068.0,1242
1629880126.0,1243
1629884282.0,1242
1629896532.0,1241
1629908766.0,1242
1629920754.0,1243
1629920834.0,1244
1629939340.0,1245
1629941254.0,1246
1629942942.0,1245
1629947135.0,1246
1629948917.0,1245
1629951880.0,1246
1629965443.0,1245
1629965566.0,1244
1629967150.0,1245
1629974447.0,1246
1629980605.0,1245
1629982172.0,1244
